facilities,rating,location,Price,review,total reviews,have bar,have restaurant,have swimming pool,have gym,have internet
bar,7.8,Wanderland,8000,"['Very', 'GoodFrom']",2,1,0,0,0,0
"restaurant, bar, swimming pool, gym, internet",7.2,Stokol,17000,"['Very', 'GoodFrom']",16,1,1,1,1,1
"restaurant, swimming pool",8.1,Stokol,7000,['ExcellentFrom'],3,0,1,1,0,0
bar,,Wanderland,2500,,,1,0,0,0,0
"bar, swimming pool, internet",8.8,Stokol,25000,['ExcellentFrom'],36,1,0,1,0,1
"restaurant, bar",8.0,Ubisville,20000,['ExcellentFrom'],6,1,1,0,0,0
bar,7.4,Hallerson,11500,"['Very', 'GoodFrom']",43,1,0,0,0,0
,6.0,Wanderland,15000,"['Very', 'GoodFrom']",43,2,2,2,2,2
"restaurant, bar",,Machlessvile,7452,,,1,1,0,0,0
restaurant,7.2,Uberlandia,9000,"['Very', 'GoodFrom']",12,0,1,0,0,0
"restaurant, bar, internet",,Stokol,15000,,,1,1,0,0,1
"restaurant, bar, swimming pool",8.0,Andeman,25000,['ExcellentFrom'],9,1,1,1,0,0
bar,,Andeman,2500,,,1,0,0,0,0
"restaurant, bar, swimming pool, gym",8.8,Wanderland,20000,['ExcellentFrom'],2,1,1,1,1,0
"restaurant, swimming pool",8.1,Wanderland,7000,['ExcellentFrom'],3,0,1,1,0,0
"restaurant, bar, swimming pool, gym, internet",7.2,Willsmian,17000,"['Very', 'GoodFrom']",16,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",7.7,Stokol,23000,"['Very', 'GoodFrom']",46,1,1,1,1,1
"restaurant, bar, swimming pool, internet",7.9,Andeman,50000,"['Very', 'GoodFrom']",24,1,1,1,0,1
"restaurant, bar",6.7,Willsmian,10000,"['Very', 'GoodFrom']",29,1,1,0,0,0
"restaurant, bar",,Uberlandia,8000,,,1,1,0,0,0
bar,,Ubisville,5000,,,1,0,0,0,0
"restaurant, bar, internet",5.6,Uberlandia,5000,['GoodFrom'],50,1,1,0,0,1
,,Uberlandia,17000,,,2,2,2,2,2
"restaurant, bar, swimming pool, internet",10.0,Wanderland,15000,['ExcellentFrom'],1,1,1,1,0,1
"bar, swimming pool, gym",8.6,Machlessvile,12800,['ExcellentFrom'],4,1,0,1,1,0
"restaurant, bar, swimming pool, gym",7.0,Wanderland,16200,"['Very', 'GoodFrom']",17,1,1,1,1,0
"restaurant, swimming pool, internet",6.4,Andeman,6000,"['Very', 'GoodFrom']",2,0,1,1,0,1
"restaurant, gym, internet",5.6,Hallerson,13000,['GoodFrom'],4,0,1,0,1,1
"restaurant, bar, swimming pool, internet",7.8,Wanderland,49500,"['Very', 'GoodFrom']",28,1,1,1,0,1
"restaurant, bar, internet",7.8,Uberlandia,9000,"['Very', 'GoodFrom']",12,1,1,0,0,1
"restaurant, bar, gym, internet",7.4,Stokol,40000,"['Very', 'GoodFrom']",28,1,1,0,1,1
"restaurant, bar, swimming pool, gym, internet",8.4,Andeman,43000,['ExcellentFrom'],226,1,1,1,1,1
"restaurant, swimming pool, internet",5.9,Stokol,17000,['GoodFrom'],14,0,1,1,0,1
"restaurant, bar, internet",7.2,Andeman,56000,"['Very', 'GoodFrom']",2,1,1,0,0,1
"restaurant, bar, swimming pool",6.7,Wanderland,14000,"['Very', 'GoodFrom']",10,1,1,1,0,0
restaurant,,Andeman,2000,,,0,1,0,0,0
,,Stokol,1800,,,2,2,2,2,2
restaurant,,Stokol,5000,,,0,1,0,0,0
,10.0,Wanderland,20000,['ExcellentFrom'],1,2,2,2,2,2
"restaurant, internet",7.1,Wanderland,20000,"['Very', 'GoodFrom']",13,0,1,0,0,1
"restaurant, internet",8.0,Stokol,18000,['ExcellentFrom'],2,0,1,0,0,1
restaurant,7.4,Uberlandia,10000,"['Very', 'GoodFrom']",12,0,1,0,0,0
"restaurant, bar, swimming pool, gym",7.0,Hallerson,32000,"['Very', 'GoodFrom']",6,1,1,1,1,0
"restaurant, bar",5.8,Stokol,3000,['GoodFrom'],10,1,1,0,0,0
"restaurant, bar",5.6,Wanderland,3000,['GoodFrom'],1,1,1,0,0,0
"bar, internet",7.2,Willsmian,15000,"['Very', 'GoodFrom']",25,1,0,0,0,1
"restaurant, bar, swimming pool, gym, internet",7.8,Wanderland,30000,"['Very', 'GoodFrom']",14,1,1,1,1,1
bar,,Andeman,3000,,,1,0,0,0,0
"restaurant, bar, internet",6.2,Uberlandia,7500,"['Very', 'GoodFrom']",7,1,1,0,0,1
"restaurant, bar",6.4,Andeman,3500,"['Very', 'GoodFrom']",1,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",,Stokol,7000,,,1,1,1,1,1
,,Stokol,23050,,,2,2,2,2,2
"restaurant, swimming pool, internet",6.3,Ubisville,15000,"['Very', 'GoodFrom']",14,0,1,1,0,1
"restaurant, bar, internet",8.2,Hallerson,20000,['ExcellentFrom'],20,1,1,0,0,1
bar,7.6,Willsmian,5000,"['Very', 'GoodFrom']",1,1,0,0,0,0
"bar, swimming pool",10.0,Uberlandia,25000,['ExcellentFrom'],1,1,0,1,0,0
"restaurant, bar, internet",6.8,Willsmian,17000,"['Very', 'GoodFrom']",1,1,1,0,0,1
,,Stokol,1800,,,2,2,2,2,2
"restaurant, bar, internet",7.1,Wanderland,9000,"['Very', 'GoodFrom']",9,1,1,0,0,1
"restaurant, bar",6.0,Andeman,7900,"['Very', 'GoodFrom']",1,1,1,0,0,0
"restaurant, bar, swimming pool",6.7,Hallerson,14000,"['Very', 'GoodFrom']",10,1,1,1,0,0
"restaurant, bar",8.4,Wanderland,2500,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, bar, gym, internet",7.2,Machlessvile,30000,"['Very', 'GoodFrom']",44,1,1,0,1,1
"restaurant, bar, swimming pool, gym",7.0,Wanderland,32000,"['Very', 'GoodFrom']",6,1,1,1,1,0
"restaurant, bar, swimming pool, gym",6.1,Wanderland,8000,"['Very', 'GoodFrom']",8,1,1,1,1,0
"restaurant, bar",4.0,Willsmian,2500,['GoodFrom'],8,1,1,0,0,0
"restaurant, bar, internet",7.9,Stokol,59000,"['Very', 'GoodFrom']",10,1,1,0,0,1
"restaurant, bar",4.2,Machlessvile,4500,['GoodFrom'],4,1,1,0,0,0
"restaurant, bar",8.0,Hallerson,20000,['ExcellentFrom'],6,1,1,0,0,0
,,Stokol,30000,,,2,2,2,2,2
bar,5.8,Machlessvile,25000,['GoodFrom'],2,1,0,0,0,0
bar,,Ubisville,3500,,,1,0,0,0,0
"restaurant, bar",,Willsmian,1700,,,1,1,0,0,0
"restaurant, bar, internet",6.8,Uberlandia,8800,"['Very', 'GoodFrom']",21,1,1,0,0,1
"restaurant, bar, swimming pool, gym",8.7,Wanderland,33000,['ExcellentFrom'],5,1,1,1,1,0
internet,8.9,Willsmian,18000,['ExcellentFrom'],11,0,0,0,0,1
"bar, internet",6.7,Hallerson,35000,"['Very', 'GoodFrom']",10,1,0,0,0,1
"restaurant, bar",7.8,Wanderland,7560,"['Very', 'GoodFrom']",10,1,1,0,0,0
"restaurant, bar, internet",6.8,Hallerson,17500,"['Very', 'GoodFrom']",94,1,1,0,0,1
"restaurant, swimming pool, internet",8.2,Stokol,16000,['ExcellentFrom'],97,0,1,1,0,1
"restaurant, bar, internet",,Stokol,54450,,,1,1,0,0,1
"restaurant, bar",8.8,Ubisville,8000,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, internet",7.1,Wanderland,9500,"['Very', 'GoodFrom']",2,0,1,0,0,1
"restaurant, swimming pool, gym",9.3,Uberlandia,35000,['ExcellentFrom'],4,0,1,1,1,0
restaurant,,Ubisville,7000,,,0,1,0,0,0
"restaurant, bar, swimming pool, internet",7.9,Wanderland,50000,"['Very', 'GoodFrom']",24,1,1,1,0,1
,6.4,Andeman,10000,"['Very', 'GoodFrom']",1,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",7.2,Hallerson,25000,"['Very', 'GoodFrom']",6,1,1,1,1,1
"restaurant, bar, swimming pool",5.2,Andeman,40326,['GoodFrom'],28,1,1,1,0,0
"restaurant, bar, swimming pool, gym",5.7,Wanderland,30000,['GoodFrom'],37,1,1,1,1,0
"restaurant, bar",8.0,Uberlandia,20000,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, bar",5.6,Uberlandia,4500,['GoodFrom'],1,1,1,0,0,0
"restaurant, bar",6.5,Wanderland,10000,"['Very', 'GoodFrom']",12,1,1,0,0,0
"restaurant, bar",6.2,Hallerson,4000,"['Very', 'GoodFrom']",10,1,1,0,0,0
"restaurant, bar, swimming pool",8.0,Machlessvile,25000,['ExcellentFrom'],9,1,1,1,0,0
"restaurant, internet",4.9,Andeman,19720,['GoodFrom'],30,0,1,0,0,1
"restaurant, bar, gym, internet",,Stokol,10000,,,1,1,0,1,1
"restaurant, bar, swimming pool, gym, internet",6.8,Ubisville,9750,"['Very', 'GoodFrom']",14,1,1,1,1,1
"restaurant, swimming pool",,Willsmian,10000,,,0,1,1,0,0
"restaurant, bar",4.9,Andeman,4400,['GoodFrom'],5,1,1,0,0,0
"restaurant, bar, swimming pool, internet",7.7,Wanderland,18000,"['Very', 'GoodFrom']",14,1,1,1,0,1
"restaurant, bar",7.1,Wanderland,9000,"['Very', 'GoodFrom']",3,1,1,0,0,0
"restaurant, bar",8.0,Wanderland,10000,['ExcellentFrom'],7,1,1,0,0,0
"swimming pool, gym",,Hallerson,16100,,,0,0,1,1,0
"restaurant, bar",3.9,Hallerson,7000,['FairFrom'],3,1,1,0,0,0
"bar, gym, internet",7.5,Hallerson,17000,"['Very', 'GoodFrom']",16,1,0,0,1,1
"bar, swimming pool, gym",9.5,Uberlandia,14997,['ExcellentFrom'],4,1,0,1,1,0
"restaurant, bar",6.7,Stokol,10000,"['Very', 'GoodFrom']",29,1,1,0,0,0
"restaurant, bar, internet",7.0,Willsmian,5000,"['Very', 'GoodFrom']",14,1,1,0,0,1
"restaurant, bar, swimming pool, gym, internet",7.6,Uberlandia,30000,"['Very', 'GoodFrom']",6,1,1,1,1,1
"restaurant, bar, internet",,Ubisville,54450,,,1,1,0,0,1
restaurant,8.3,Andeman,11000,['ExcellentFrom'],20,0,1,0,0,0
"restaurant, internet",8.0,Willsmian,18000,['ExcellentFrom'],2,0,1,0,0,1
"restaurant, bar",,Machlessvile,13000,,,1,1,0,0,0
"bar, swimming pool, internet",7.0,Wanderland,45000,"['Very', 'GoodFrom']",6,1,0,1,0,1
"restaurant, bar, swimming pool, gym",10.0,Stokol,36000,['ExcellentFrom'],1,1,1,1,1,0
"bar, internet",6.6,Stokol,11000,"['Very', 'GoodFrom']",14,1,0,0,0,1
,6.0,Andeman,15000,"['Very', 'GoodFrom']",43,2,2,2,2,2
"restaurant, swimming pool, internet",6.3,Machlessvile,15000,"['Very', 'GoodFrom']",14,0,1,1,0,1
"bar, internet",6.6,Andeman,11000,"['Very', 'GoodFrom']",14,1,0,0,0,1
"restaurant, bar, swimming pool",7.3,Machlessvile,11000,"['Very', 'GoodFrom']",41,1,1,1,0,0
"restaurant, bar, internet",7.4,Uberlandia,15000,"['Very', 'GoodFrom']",18,1,1,0,0,1
"restaurant, bar",5.6,Machlessvile,5400,['GoodFrom'],1,1,1,0,0,0
"restaurant, bar",7.8,Andeman,10000,"['Very', 'GoodFrom']",4,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.3,Hallerson,27000,['ExcellentFrom'],11,1,1,1,1,1
"restaurant, bar, swimming pool, internet",8.0,Hallerson,25000,['ExcellentFrom'],25,1,1,1,0,1
"restaurant, bar, internet",7.0,Stokol,15000,"['Very', 'GoodFrom']",39,1,1,0,0,1
,,Machlessvile,2800,,,2,2,2,2,2
"restaurant, bar",8.0,Willsmian,9000,['ExcellentFrom'],4,1,1,0,0,0
"restaurant, bar",From,Ubisville,7500,,1,1,1,0,0,0
,,Willsmian,6000,,,2,2,2,2,2
,,Stokol,6000,,,2,2,2,2,2
,6.0,Hallerson,15000,"['Very', 'GoodFrom']",43,2,2,2,2,2
"restaurant, bar, swimming pool, gym",9.3,Wanderland,88600,['ExcellentFrom'],3,1,1,1,1,0
"bar, swimming pool",6.4,Wanderland,20000,"['Very', 'GoodFrom']",49,1,0,1,0,0
,6.2,Hallerson,3500,"['Very', 'GoodFrom']",2,2,2,2,2,2
"restaurant, bar, swimming pool, gym, internet",5.2,Stokol,26875,['GoodFrom'],3,1,1,1,1,1
"restaurant, bar",6.3,Andeman,11500,"['Very', 'GoodFrom']",34,1,1,0,0,0
"restaurant, swimming pool, internet",6.3,Wanderland,15000,"['Very', 'GoodFrom']",14,0,1,1,0,1
"bar, internet",6.7,Andeman,35000,"['Very', 'GoodFrom']",10,1,0,0,0,1
,,Stokol,1500,,,2,2,2,2,2
"restaurant, bar, swimming pool, gym",7.2,Willsmian,63000,"['Very', 'GoodFrom']",10,1,1,1,1,0
,,Hallerson,3500,,,2,2,2,2,2
"restaurant, bar",8.4,Stokol,15000,['ExcellentFrom'],1,1,1,0,0,0
swimming pool,,Willsmian,20000,,,0,0,1,0,0
"restaurant, bar, swimming pool, gym, internet",7.7,Willsmian,23000,"['Very', 'GoodFrom']",46,1,1,1,1,1
restaurant,,Uberlandia,7000,,,0,1,0,0,0
"bar, swimming pool, gym, internet",5.5,Stokol,7000,['GoodFrom'],8,1,0,1,1,1
bar,7.4,Willsmian,11500,"['Very', 'GoodFrom']",43,1,0,0,0,0
"restaurant, bar, internet",6.7,Hallerson,3000,"['Very', 'GoodFrom']",1,1,1,0,0,1
"restaurant, bar",6.1,Wanderland,6000,"['Very', 'GoodFrom']",4,1,1,0,0,0
internet,8.9,Andeman,18000,['ExcellentFrom'],11,0,0,0,0,1
"restaurant, bar, swimming pool, gym, internet",6.7,Hallerson,55537,"['Very', 'GoodFrom']",32,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",7.8,Wanderland,15000,"['Very', 'GoodFrom']",25,1,1,1,1,1
"bar, swimming pool, internet",8.8,Uberlandia,25000,['ExcellentFrom'],36,1,0,1,0,1
"restaurant, bar, swimming pool, gym, internet",7.0,Uberlandia,20000,"['Very', 'GoodFrom']",2,1,1,1,1,1
"restaurant, bar, swimming pool, gym, internet",8.7,Hallerson,12500,['ExcellentFrom'],7,1,1,1,1,1
,8.0,Andeman,5500,['ExcellentFrom'],1,2,2,2,2,2
"restaurant, bar, swimming pool, gym",8.7,Willsmian,33000,['ExcellentFrom'],5,1,1,1,1,0
"restaurant, bar, swimming pool, gym",6.1,Andeman,8000,"['Very', 'GoodFrom']",8,1,1,1,1,0
"restaurant, bar, swimming pool, internet",7.8,Andeman,49500,"['Very', 'GoodFrom']",28,1,1,1,0,1
"restaurant, bar, internet",7.1,Hallerson,4000,"['Very', 'GoodFrom']",3,1,1,0,0,1
"restaurant, bar, swimming pool, internet",7.8,Andeman,49500,"['Very', 'GoodFrom']",28,1,1,1,0,1
"restaurant, bar, swimming pool, internet",7.7,Wanderland,18000,"['Very', 'GoodFrom']",14,1,1,1,0,1
"restaurant, bar, internet",8.1,Uberlandia,30500,['ExcellentFrom'],4,1,1,0,0,1
"restaurant, bar, internet",6.2,Machlessvile,7500,"['Very', 'GoodFrom']",7,1,1,0,0,1
"restaurant, bar, internet",6.6,Andeman,13000,"['Very', 'GoodFrom']",16,1,1,0,0,1
"restaurant, bar, swimming pool",8.0,Hallerson,25000,['ExcellentFrom'],9,1,1,1,0,0
"restaurant, bar",7.6,Hallerson,9000,"['Very', 'GoodFrom']",9,1,1,0,0,0
restaurant,6.0,Stokol,5500,"['Very', 'GoodFrom']",79,0,1,0,0,0
"restaurant, bar",,Wanderland,6500,,,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.3,Andeman,27000,['ExcellentFrom'],11,1,1,1,1,1
"restaurant, bar",6.9,Machlessvile,13500,"['Very', 'GoodFrom']",17,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",8.8,Hallerson,37250,['ExcellentFrom'],2,1,1,1,1,1
"bar, internet",6.6,Wanderland,11000,"['Very', 'GoodFrom']",14,1,0,0,0,1
"restaurant, swimming pool, internet",9.1,Uberlandia,37200,['ExcellentFrom'],12,0,1,1,0,1
"restaurant, bar, swimming pool, gym, internet",6.9,Machlessvile,17000,"['Very', 'GoodFrom']",23,1,1,1,1,1
bar,,Uberlandia,5000,,,1,0,0,0,0
bar,,Machlessvile,3500,,,1,0,0,0,0
"restaurant, bar",7.4,Wanderland,15000,"['Very', 'GoodFrom']",4,1,1,0,0,0
"restaurant, bar",6.0,Willsmian,7900,"['Very', 'GoodFrom']",1,1,1,0,0,0
"bar, swimming pool",6.4,Machlessvile,20000,"['Very', 'GoodFrom']",49,1,0,1,0,0
"restaurant, bar, internet",,Wanderland,6000,,,1,1,0,0,1
"restaurant, bar",,Machlessvile,3600,,,1,1,0,0,0
"restaurant, bar",6.5,Stokol,4500,"['Very', 'GoodFrom']",7,1,1,0,0,0
"restaurant, bar, swimming pool, gym",8.7,Andeman,33000,['ExcellentFrom'],5,1,1,1,1,0
"bar, internet",6.6,Machlessvile,11000,"['Very', 'GoodFrom']",14,1,0,0,0,1
"restaurant, bar",7.1,Machlessvile,11000,"['Very', 'GoodFrom']",10,1,1,0,0,0
"restaurant, bar, swimming pool, internet",5.8,Stokol,25000,['GoodFrom'],6,1,1,1,0,1
"bar, swimming pool",6.4,Hallerson,20000,"['Very', 'GoodFrom']",49,1,0,1,0,0
"restaurant, bar",8.0,Wanderland,20000,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, swimming pool, internet",5.9,Hallerson,6500,['GoodFrom'],3,0,1,1,0,1
"restaurant, bar, swimming pool, gym, internet",7.7,Hallerson,44203,"['Very', 'GoodFrom']",6,1,1,1,1,1
"restaurant, bar",8.5,Wanderland,3500,['ExcellentFrom'],5,1,1,0,0,0
"restaurant, bar, gym, internet",6.5,Hallerson,15000,"['Very', 'GoodFrom']",32,1,1,0,1,1
"restaurant, bar, internet",8.1,Uberlandia,14000,['ExcellentFrom'],31,1,1,0,0,1
"restaurant, bar",8.4,Stokol,2500,['ExcellentFrom'],1,1,1,0,0,0
,,Machlessvile,6000,,,2,2,2,2,2
"restaurant, bar, internet",8.0,Willsmian,40000,['ExcellentFrom'],8,1,1,0,0,1
"bar, internet",6.9,Andeman,18000,"['Very', 'GoodFrom']",10,1,0,0,0,1
"restaurant, bar, swimming pool, gym",6.0,Machlessvile,35000,"['Very', 'GoodFrom']",9,1,1,1,1,0
"restaurant, bar, swimming pool, internet",7.4,Willsmian,17000,"['Very', 'GoodFrom']",145,1,1,1,0,1
"restaurant, bar, swimming pool, gym",7.0,Stokol,16200,"['Very', 'GoodFrom']",17,1,1,1,1,0
"restaurant, bar",7.2,Andeman,15000,"['Very', 'GoodFrom']",2,1,1,0,0,0
"restaurant, swimming pool",,Stokol,10000,,,0,1,1,0,0
"restaurant, bar",7.9,Stokol,20500,"['Very', 'GoodFrom']",59,1,1,0,0,0
,,Uberlandia,2800,,,2,2,2,2,2
,6.4,Ubisville,10000,"['Very', 'GoodFrom']",1,2,2,2,2,2
"restaurant, bar",8.0,Andeman,11800,['ExcellentFrom'],3,1,1,0,0,0
bar,5.8,Hallerson,25000,['GoodFrom'],2,1,0,0,0,0
"bar, swimming pool, gym",6.9,Andeman,21000,"['Very', 'GoodFrom']",13,1,0,1,1,0
,,Machlessvile,8000,,,2,2,2,2,2
"restaurant, bar",8.0,Machlessvile,11500,['ExcellentFrom'],6,1,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",7.2,Uberlandia,17000,"['Very', 'GoodFrom']",16,1,1,1,1,1
"restaurant, bar, internet",8.4,Uberlandia,14000,['ExcellentFrom'],1,1,1,0,0,1
"restaurant, bar",6.3,Hallerson,11500,"['Very', 'GoodFrom']",34,1,1,0,0,0
"restaurant, bar, internet",7.2,Stokol,9200,"['Very', 'GoodFrom']",39,1,1,0,0,1
"restaurant, bar, swimming pool, internet",2.4,Ubisville,8000,['FairFrom'],4,1,1,1,0,1
"bar, swimming pool, internet",7.3,Wanderland,12000,"['Very', 'GoodFrom']",61,1,0,1,0,1
"restaurant, bar, swimming pool",,Andeman,8000,,,1,1,1,0,0
restaurant,,Machlessvile,2000,,,0,1,0,0,0
"restaurant, bar, swimming pool, gym, internet",7.2,Machlessvile,69569,"['Very', 'GoodFrom']",4,1,1,1,1,1
"restaurant, bar",7.5,Wanderland,16000,"['Very', 'GoodFrom']",8,1,1,0,0,0
"restaurant, bar, swimming pool",7.3,Stokol,11000,"['Very', 'GoodFrom']",41,1,1,1,0,0
"restaurant, bar, internet",5.8,Hallerson,6000,['GoodFrom'],8,1,1,0,0,1
,,Andeman,20000,,,2,2,2,2,2
"restaurant, bar",,Stokol,8000,,,1,1,0,0,0
"restaurant, bar, internet",,Hallerson,15000,,,1,1,0,0,1
"restaurant, bar",10.0,Stokol,13225,['ExcellentFrom'],1,1,1,0,0,0
bar,4.3,Stokol,2250,['GoodFrom'],3,1,0,0,0,0
"bar, internet",,Stokol,31625,,,1,0,0,0,1
"bar, internet",6.9,Wanderland,18000,"['Very', 'GoodFrom']",10,1,0,0,0,1
restaurant,,Hallerson,4250,,,0,1,0,0,0
"bar, swimming pool, gym, internet",8.2,Andeman,32000,['ExcellentFrom'],13,1,0,1,1,1
"restaurant, bar",7.4,Andeman,15000,"['Very', 'GoodFrom']",4,1,1,0,0,0
"restaurant, bar, swimming pool, internet",7.9,Wanderland,50000,"['Very', 'GoodFrom']",24,1,1,1,0,1
internet,8.4,Wanderland,10000,['ExcellentFrom'],3,0,0,0,0,1
"restaurant, bar, swimming pool, gym, internet",8.7,Willsmian,12500,['ExcellentFrom'],7,1,1,1,1,1
"restaurant, bar, internet",6.4,Wanderland,10000,"['Very', 'GoodFrom']",16,1,1,0,0,1
internet,7.7,Stokol,5000,"['Very', 'GoodFrom']",10,0,0,0,0,1
restaurant,6.0,Hallerson,5500,"['Very', 'GoodFrom']",79,0,1,0,0,0
"restaurant, bar",6.3,Andeman,7000,"['Very', 'GoodFrom']",17,1,1,0,0,0
internet,7.7,Uberlandia,20000,"['Very', 'GoodFrom']",18,0,0,0,0,1
"restaurant, bar, swimming pool, internet",9.8,Stokol,64800,['ExcellentFrom'],4,1,1,1,0,1
,,Uberlandia,3700,,,2,2,2,2,2
"restaurant, bar",5.8,Willsmian,3000,['GoodFrom'],10,1,1,0,0,0
"restaurant, bar",8.1,Uberlandia,3800,['ExcellentFrom'],36,1,1,0,0,0
"restaurant, internet",7.1,Willsmian,20000,"['Very', 'GoodFrom']",13,0,1,0,0,1
"restaurant, internet",5.7,Wanderland,16500,['GoodFrom'],6,0,1,0,0,1
swimming pool,,Uberlandia,20000,,,0,0,1,0,0
"restaurant, bar, swimming pool, internet",7.5,Wanderland,67000,"['Very', 'GoodFrom']",35,1,1,1,0,1
"restaurant, bar, internet",6.8,Wanderland,20000,"['Very', 'GoodFrom']",8,1,1,0,0,1
"restaurant, bar, internet",7.0,Andeman,20000,"['Very', 'GoodFrom']",23,1,1,0,0,1
"restaurant, bar, swimming pool, internet",8.7,Andeman,35000,['ExcellentFrom'],15,1,1,1,0,1
"restaurant, bar",6.1,Stokol,6000,"['Very', 'GoodFrom']",4,1,1,0,0,0
"restaurant, bar",,Uberlandia,2500,,,1,1,0,0,0
internet,8.9,Uberlandia,18000,['ExcellentFrom'],11,0,0,0,0,1
"restaurant, internet",8.0,Uberlandia,44000,['ExcellentFrom'],7,0,1,0,0,1
"restaurant, bar",7.3,Andeman,7000,"['Very', 'GoodFrom']",13,1,1,0,0,0
"restaurant, swimming pool, internet",6.4,Willsmian,6000,"['Very', 'GoodFrom']",2,0,1,1,0,1
"restaurant, bar",6.6,Willsmian,10000,"['Very', 'GoodFrom']",7,1,1,0,0,0
"restaurant, bar, internet",6.3,Willsmian,22000,"['Very', 'GoodFrom']",30,1,1,0,0,1
"restaurant, bar",,Uberlandia,3600,,,1,1,0,0,0
"restaurant, bar",3.9,Andeman,7000,['FairFrom'],3,1,1,0,0,0
"restaurant, bar, swimming pool",8.9,Stokol,20000,['ExcellentFrom'],3,1,1,1,0,0
"bar, internet",7.2,Stokol,15000,"['Very', 'GoodFrom']",25,1,0,0,0,1
internet,,Ubisville,25000,,,0,0,0,0,1
"restaurant, bar",6.4,Wanderland,5500,"['Very', 'GoodFrom']",34,1,1,0,0,0
,,Wanderland,6000,,,2,2,2,2,2
,,Stokol,8000,,,2,2,2,2,2
bar,,Stokol,3000,,,1,0,0,0,0
"swimming pool, gym, internet",7.6,Ubisville,27000,"['Very', 'GoodFrom']",2,0,0,1,1,1
"restaurant, bar, internet",7.2,Uberlandia,9200,"['Very', 'GoodFrom']",39,1,1,0,0,1
"restaurant, bar",,Willsmian,3600,,,1,1,0,0,0
,8.3,Willsmian,35000,['ExcellentFrom'],4,2,2,2,2,2
"restaurant, bar, internet",6.7,Willsmian,3000,"['Very', 'GoodFrom']",1,1,1,0,0,1
,6.0,Willsmian,15000,"['Very', 'GoodFrom']",43,2,2,2,2,2
"restaurant, swimming pool, gym, internet",9.1,Stokol,25000,['ExcellentFrom'],3,0,1,1,1,1
"restaurant, bar",,Hallerson,2500,,,1,1,0,0,0
bar,,Stokol,2500,,,1,0,0,0,0
"restaurant, bar, swimming pool",8.0,Stokol,12000,['ExcellentFrom'],6,1,1,1,0,0
"restaurant, bar, swimming pool, gym, internet",8.7,Andeman,12500,['ExcellentFrom'],7,1,1,1,1,1
"restaurant, bar, internet",4.4,Andeman,6700,['GoodFrom'],1,1,1,0,0,1
"restaurant, bar",8.0,Stokol,7000,['ExcellentFrom'],1,1,1,0,0,0
"restaurant, bar, internet",,Stokol,6000,,,1,1,0,0,1
"restaurant, bar",6.2,Andeman,3500,"['Very', 'GoodFrom']",13,1,1,0,0,0
